"TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","IncomePerCap"
4462,2144,2318,5.8,80.4,0.3,2.1,1.7,0.3,3255,26.6,32.5,34.4,19.6,16.2,12.9,16.9,78.2,12,0,1.8,3.1,4.9,21.6,1492,73.9,18,7.5,0.5,14,20213
2397,1216,1181,28.1,58.3,10,0.2,0.7,0,1812,6.2,6.5,35.2,8.3,21.5,14.1,20.9,84.6,11.5,1.5,0.4,1.3,0.7,25.8,1128,87.3,9.5,3.2,0,11.9,32065
1200,611,589,0.3,99.4,0,0,0,0,1024,6.1,1.2,38.7,16.3,20.2,9.8,15,74.8,16.5,4.2,0,2.1,2.4,21.4,620,90.2,7.4,2.4,0,5.8,25914
6247,2796,3451,1.9,83.5,11.6,2.2,0.4,0,4875,9.9,9.3,37.3,16.4,26.3,4.5,15.5,92.9,4.6,0,0,1.1,1.4,19.2,3065,82.2,10.6,6,1.3,5.4,28451
5581,2896,2685,2.9,83.3,6.7,0.7,3.7,0,4591,8.1,7.2,38.6,19.7,30.3,4.3,7.2,71.4,8.4,5.6,7.7,1.5,5.4,25.6,2793,89.4,6.7,3.9,0,7.8,28613
4697,2066,2631,96.4,3,0,0,0.3,0,2367,52.1,70.9,28.9,30.3,20.6,12.1,8,84.8,4.6,1.6,3.8,3.5,1.7,18.9,1470,76.2,12.8,11,0,4.3,11573
3928,2235,1693,81.7,7.1,1.5,0,3.2,5.4,1143,13.9,19.7,14.2,38.7,17,19.2,10.8,59.6,18.1,9.5,2.7,9.3,0.8,27.2,2121,82.1,4.5,13.3,0,3.8,21415
1542,674,868,5.2,83.1,7.9,0,0.3,0,1315,7.1,8.5,45.4,12.4,20.6,9.9,11.8,76.2,14.2,1.4,2.7,0.4,5.1,18.7,961,77.2,20.1,2.7,0,2.5,31681
1093,525,568,0.9,3.8,90.6,0,0,0,836,65.5,70.4,17.7,42,8.1,2.1,30,33.1,9.3,27,8.9,11.3,10.5,34.2,283,82.3,12.7,4.9,0,20.1,11276
3611,1776,1835,0.7,81.7,10,0,0.4,0,2618,27.4,46.7,25.2,23.7,28.9,8.2,14.1,82.3,13,0,4.2,0.5,0,19.1,1705,89.3,8.2,2.5,0,5.5,17579
1943,1079,864,10.4,83.8,1.8,0,1.6,0.4,1758,13.5,32.1,46.6,12.4,24.2,9.2,7.6,81.1,4.9,1.4,0.9,2.2,9.5,25.1,596,69,12.2,18.8,0,12.4,41666
7102,3387,3715,9,34.7,9.3,16.5,12.2,7.6,4988,13.2,24.5,29.1,23.8,30,6.7,10.4,64.1,21.1,0.5,2.6,2.6,9.2,18.5,3516,70.7,17.3,12,0,3.8,26402
8364,3890,4474,6.9,78,4.8,0,8.3,0,5962,4.7,1.2,56.3,12.9,22.4,5.4,3.1,79.8,8.6,0,2.2,0.8,8.6,20.3,4450,65.6,28.9,5.5,0,3.4,38269
5182,2362,2820,4.5,68,25.3,0,0,0,3863,19.2,40.6,35.4,15.4,29.4,10,9.8,86.4,10.7,0,0,0,2.9,28,2279,82.7,14.4,2.9,0,8.1,25744
1002,412,590,6.6,43.4,42.3,0,3.2,0,879,20,0,52.9,26.2,16.1,0.8,4.1,42.3,1.4,22.6,9.4,14,10.3,21.7,665,82.3,15.3,2.4,0,3.8,34456
2943,1485,1458,26.7,53.3,8,1.2,6.3,0.3,2319,11.3,14.9,43.2,11.8,34,3.3,7.7,76.5,8.3,5,0.9,3.2,6,20.3,1619,79.6,14.3,6.1,0,2.8,31176
2331,1701,630,11,58.6,20.5,1.2,1.7,0,2004,25.3,26.3,45,10,23.3,5.8,15.9,87.3,2.5,1.8,5.2,0,3.2,20.1,653,87.6,8.7,3.7,0,6.8,30987
3364,1621,1743,70.6,13.9,12.9,0,0,0,2037,43.6,68.1,17.5,30.9,19.5,15,17.1,82.9,12.1,0,2.6,0,2.4,31.3,1173,72.8,19.5,7.7,0,13.4,15509
1965,1048,917,15.5,75.4,4.2,0.8,1,0,1524,20.2,19.3,30.4,32.2,23.6,7.1,6.8,66.5,10.5,2.2,12.3,2.3,6.1,12.4,780,67.1,21.5,11.4,0,13,21573
4808,2556,2252,12.7,73.6,8.4,0.3,1.1,0,3917,9.4,17.4,33.5,17.9,21.1,10.2,17.4,87.2,8.5,0.5,1.5,0.8,1.5,19.1,2806,84.1,11,4.9,0,5.3,35652
4022,1839,2183,19.2,76.4,0.2,0,1.8,0,2923,3.8,3.4,43,17.4,21.3,9.1,9.3,87.4,6.7,0.1,0.4,2.6,2.8,21.8,1834,66,21.6,12.4,0,8.2,38015
3669,1798,1871,8.3,63.2,19.8,0,5.1,0,2663,9.3,10.5,43.5,7.8,27.6,5.6,15.5,87.7,4.8,0,0,6.6,0.9,20.1,1440,69.9,30.1,0,0,2.1,30014
2839,1378,1461,5.1,64.8,24.8,0,1.3,0,2041,11.4,5.3,24.1,41.5,18.7,1.3,14.3,77.7,19.2,0.3,0,0,2.8,13.2,1471,83.8,12.4,3.3,0.5,9.8,24787
3031,1524,1507,7.3,75.8,0.6,11.5,0.7,0.2,2423,8.3,11.1,39.3,22.1,17.2,11.3,10.2,67.5,6.6,1.1,5.2,0.7,18.8,38.1,1261,62,22.6,14.9,0.5,12.4,34433
11493,5657,5836,10.5,72.8,5,1.9,4.5,0,7506,10,14.1,28.6,14,26.9,10.7,19.8,83.5,10.9,1.4,0.6,0.6,2.9,37.8,5127,80.1,18.4,1.5,0,4.5,26912
4076,2050,2026,9,83.4,5.3,0.1,0.1,0,3164,6.8,11.2,24.7,21.6,21.4,18.5,13.7,92.2,4,1.1,0,0,2.8,31.4,1941,75.2,23,1.8,0,6.1,35675
3740,1917,1823,5.2,88,2.8,0,0,0,2838,11.8,8.2,31.9,22.9,26.1,12.2,6.9,76.2,9.5,6.3,3.2,0.5,4.4,39.5,1896,73.6,20.7,5.7,0,6,29934
5862,2710,3152,4.6,30.3,64.4,0.7,0,0,4304,29.9,61.5,22.6,24.2,27.6,9.5,16.1,86.5,6.6,0,0.5,5.3,1.1,22.9,2569,79.6,16.1,4.4,0,9.1,20397
4695,2229,2466,13.1,48.3,31.5,0.6,6.1,0,3243,7.5,0,47.1,19.3,26.7,1.6,5.3,63.3,13.1,17.6,0.8,0,5.2,30.4,2737,85.2,1,13.8,0,7.8,46473
2309,1103,1206,1,95.1,0.3,0,0,3.6,1748,20.5,27,24.4,15.6,19.1,18.7,22.2,86.6,8.3,1.2,0.8,1.3,1.8,16.9,1148,86.8,7.8,5.4,0,8,22019
5197,2155,3042,5.8,2.8,87.3,0,2.1,0,2927,19.4,26.3,29.7,39.1,19,5.1,7.1,11.3,5.9,74.4,3.3,2.4,2.7,50.7,2196,71.2,21.6,7.2,0,4.8,20485
4957,2689,2268,1.4,21,77.5,0,0,0,4231,13.9,17.8,25.7,23.6,22.5,4,24.1,82.7,3.4,1.1,8.8,1.6,2.4,21.6,1510,83.5,11.5,5,0,12.1,11166
3257,1598,1659,2.6,74.7,7.3,0.2,8.7,0.3,2436,1.5,0.8,52.5,12.5,18.7,4,12.2,80,10.4,3.3,0.8,3.1,2.4,23.3,2076,79,18.5,2.5,0,1.8,48643
4385,2203,2182,30.4,66.8,1,0.5,0,0,3106,13.5,18.4,27.8,19,25.7,15.4,12.2,83.7,10.9,0.5,1.1,0.1,3.7,21.7,1973,75.6,12.2,11.7,0.6,5.5,23192
4823,2489,2334,17.8,76.3,1.8,0.3,1.2,0,3391,10.9,16.4,25.1,17.2,24.5,14.8,18.3,82.5,9.9,0.4,3.1,0,4.2,25.3,2118,78.8,15.8,5.5,0,7.9,22911
3171,1357,1814,9.4,82.4,3.3,0.4,0,0,2487,36.8,52,20.1,19.4,24.3,18.2,18,84.1,7.1,0,2.7,0.7,5.4,17.4,1232,89.5,5.5,5,0,7.5,14556
5750,2831,2919,4.8,49.2,12.7,0,28.8,0,3181,2.4,2.2,66.2,7.5,22.7,0,3.6,73.9,10.2,0,2.2,1.6,12.2,21.6,3176,87.3,8,4.7,0,3.7,47106
5860,3091,2769,2.1,95.3,2,0,0.6,0,4435,1.6,0,53.1,11.1,27.7,5.8,2.3,89.3,1.4,0,0.4,0.3,8.6,32.2,3116,74.6,19.7,5.7,0,1.7,44176
4878,2438,2440,0.1,98.7,0,0,0.4,0,3574,5.9,11.2,33,15.6,19.4,17,15,85.7,5.4,0,1.6,0.7,6.6,23.8,2609,75.2,12.7,12,0,3.6,28918
4548,2117,2431,98.5,1.1,0,0,0,0,3587,29.6,48.4,39.4,15.9,27.4,7.9,9.3,81.4,16.5,0,2.2,0,0,26.5,1386,68.9,28.4,2.7,0,11.3,14377
3824,1877,1947,4.8,82.8,4.4,0,4.1,0,3285,28.5,0,58.5,14.1,17.8,2.5,7,52.5,9.3,1.8,27,4.5,4.7,21.1,2512,78,14,8,0,5,33130
3517,1793,1724,0,94.7,3.7,0,0,0,2742,13.7,23,34.7,13.2,20.9,9.8,21.5,82.7,9.2,0.8,1,0.2,6.1,28.4,1466,75.2,15.3,8.9,0.7,9.6,22711
2428,1250,1178,7,82.9,0,0,4.5,0.4,1902,7.6,17.6,73.4,10.4,13.2,1.2,1.8,50.3,8,5,13.6,10,13.1,20.2,1496,84.8,5.2,10,0,0.7,64907
3404,1604,1800,8.6,68.8,3.9,0,18.5,0,2305,1.9,1.1,71.7,7.7,16.8,2.7,1.1,84.7,3.7,2.8,0,0.4,8.3,28.6,1852,73.3,22.5,4.3,0,1.5,80269
7977,4225,3752,4.9,93.6,0,0,0,0,5919,10.6,18.8,22.2,16.6,19.7,21,20.6,85.1,6,3.7,0.9,2.3,2,23.6,4085,87.3,8.1,4,0.6,9.9,31557
